location,lats,longs
تهران،تهران،13 آبان,51.4124628,35.6039273
تهران،تهران،امجدیه  -  خاقانی,51.4275914,35.7040759
البرز،کرج،تهرانسر,51.27009326492464,35.69480730943104
تهران،تهران،شاهین (منطقه 5 ),51.308359,35.7605101
تهران،تهران،فلاح,51.3647609,35.6542843
تهران،تهران،نعمت آباد,51.3477486,35.6340121
تهران،تهران،فرهنگ شهر,51.282844999999995,35.70766245
تهران،تهران،شهرک راه آهن,51.1541693,35.7460916
البرز،کرج،مهرشهر(کرج),50.8862653,35.8194234
تهران،تهران،عباس آباد,51.6999152,35.4080362
تهران،تهران،ملک شهر,50.013920597003676,36.25861505
تهران،تهران،کیانمهر(کرج),50.86300838942071,35.777225613405626
تهران،تهران،پردیس,51.8172149,35.7371227
تهران،تهران،دره گرم (منطقه9),51.33705127491445,35.683998811734554
تهران،تهران،فرحزاد,51.3460372,35.7859783
تهران،تهران،خوراسگان,51.18654732466574,35.70126324107414
تهران،تهران،میدان المپیک,51.26413767337972,35.746439699999996
تهران،تهران،امیریه,52.8013287,35.7748089
تهران،تهران،نفت شمالی,51.2590174,35.6941015
تهران،تهران،کاشانک,51.3019129,35.5318788
تهران،تهران،توانیر,51.4079084,35.7554368
تهران،تهران،اتابک,51.462443,35.6480563
تهران،تهران،خطیب,51.4531466,35.6771123
تهران،تهران،زینبیه,51.5118344,35.7094638
تهران،تهران،عباس‌آباد,51.429691612425394,35.72877021950004
تهران،تهران،شهرک ژاندارمری,51.35467692803127,35.73405165
البرز،کرج،محمد شهر(کرج),50.90215000281549,35.7385478
تهران،تهران،لواسان,51.6321444,35.8204845
البرز،کرج،باغ فیض,51.3227754423129,35.74236148287185
تهران،تهران،درکه,51.3827097,35.8043457
تهران،تهران،دستگردی,51.4485557,35.7029071
البرز،کرج،اتحاد(کرج),50.97433124597652,35.839191400000004
تهران،تهران،بزرگراه جلال آل احمد,51.35209,35.7265492
تهران،تهران،هلال احمر,51.389084,35.6709446
تهران،تهران،رودکی,51.3796075,35.687745
تهران،تهران،هزارجریب,51.6714119,32.625205
تهران،تهران،سایر- کرج,50.95244157793844,35.791126670010826
تهران،تهران،سی متری جی,51.3442891,35.6776518
تهران،تهران،دولاب,51.4612874,35.6650426
تهران،تهران،پیروزی,51.467861,35.690986
تهران،تهران،تاکسیرانی,51.4827902,35.6723157
البرز،کرج،دولت,50.9744692,35.8109395
تهران،تهران،طالب آملی,52.06967559603372,35.84365948419579
البرز،کرج،انقلاب(کرج),50.95816080741115,35.850170250000005
تهران،تهران،یاخچی آباد,51.403157,35.63195
تهران،تهران،بزرگراه نواب صفوی,51.3800702,35.6826276
تهران،تهران،کارخانه قند(کرج),50.98188673471381,35.80954088662651
تهران،تهران،سئول,51.3967899,35.7708695
تهران،تهران،میدان انقلاب,51.0800453925368,35.57650805
تهران،تهران،پونک,51.3303867,35.7675414
البرز،کرج،عظیمیه(کرج),51.0358078,35.8333675
تهران،تهران،شهید مدنی,51.4529655,35.7090585
تهران،تهران،بلوار مرزداران,51.3400569,35.7359738
تهران،تهران،شاد آباد,51.2968555,35.6564232
تهران،تهران،حسن آباد(کرج),51.002273261236304,35.84860025439424
تهران،تهران،میدان فردوسی,51.41910280988562,35.7015125
البرز،کرج،بهشتی(کرج),50.93674021927539,35.8396882
تهران،تهران،بهداشت,51.3381393,35.6569395
