,0
اصفهان،اصفهان،شمس‌آباد,4
آذربایجان شرقی،تبریز،منطقه صنعتی تبریز,4
فارس،شیراز،ستاد,4
گیلان،رشت،جاده انزلی,4
تهران،تهران،جاده لاهیجان,4
البرز،کرج،پونک,4
البرز،کرج،انرژی اتمی(کرج),4
اصفهان،اصفهان،تخت فولاد,4
تهران،تهران،شهرک سبلان فاز1,4
خراسان رضوی،سبزوار،پرستش,4
تهران،تهران،شهرک فرهنگیان,4
فارس،شیراز،شاهد,3
تهران،تهران،سرافرازان,3
تهران،تهران،رشتیان,3
تهران،تهران،قصردشت,3
اصفهان،اصفهان،شریعتی,3
البرز،کرج،بریانک,3
کردستان،سنندج،خیابان فلسطین,3
خوزستان،اهواز،فاز 1 پادادشهر,3
کرمانشاه،کرمانشاه،برق,3
البرز،کرج،تهران,3
خراسان رضوی،مشهد،شاندیز,3
کرمانشاه،کرمانشاه،گلها,3
خراسان رضوی،مشهد،حرم‌مطهر,3
کرمان،کرمان،شهرک باهنر,3
اصفهان،اصفهان،باغ فدک,3
یزد،یزد،میدان مسکن,3
فارس،شیراز،همت (جنوبی),3
تهران،تهران،محمد شهر(کرج),3
فارس،شیراز،زرهی,3
خراسان رضوی،مشهد،میر,3
تهران،تهران،رضانژاد,3
قم،قم،نارمک,3
