,0
خوزستان،اهواز،باهنر,24
تهران،تهران،کوثر,24
تهران،تهران،محمودیه,24
خراسان رضوی،مشهد،میدان امام حسین,23
کرمانشاه،کرمانشاه،شریعتی,23
کرمانشاه،کرمانشاه،الهیه,23
خراسان رضوی،مشهد،میدان عدل خمینی,23
گیلان،رشت،چمارسرا,23
تهران،تهران،خیابان امام رضا,23
اصفهان،اصفهان،دولت‌آباد,23
لرستان،خرم آباد،پشته جزایری,22
تهران،تهران،دره گرم (منطقه9),22
تهران،تهران،دولاب,22
خراسان رضوی،مشهد،راهنمایی,21
بوشهر،بوشهر،باغ زهرا,21
قم،قم،زنبیل آباد (شهید صدوقی),21
فارس،شیراز،عفیف آباد,21
اصفهان،اصفهان،عاشق آباد,21
اصفهان،اصفهان،شیخ صدوق,21
فارس،شیراز،شهرک سامان,21
قم،قم،بنیاد,21
تهران،تهران،درکه,21
فارس،شیراز،میدان امام حسین,21
تهران،تهران،ستاری,21
البرز،کرج،اکبر آباد(کرج),21
لرستان،خرم آباد،دره گرم (منطقه9),21
کردستان،سنندج،چهار باغ,21
تهران،تهران،خرمشهر,20
خوزستان،اهواز،کارون,20
تهران،تهران،شهرک آزادی,20
البرز،کرج،بهاران 17/1,20
تهران،تهران،حشمتیه,20
تهران،تهران،زویه1(کوروش),20
البرز،کرج،فرحزاد,19
قزوین،قزوین،عدل,19
گیلان،رشت،یخسازی,19
البرز،کرج،مهرویلا(کرج),19
آذربایجان شرقی،تبریز،لاله غربی,19
تهران،تهران،جمالزاده  -  حشمت الدوله,19
لرستان،خرم آباد،پارک صخره‌ای,19
تهران،تهران،شاهین (منطقه 14 ),19
لرستان،خرم آباد،قاضی آباد (منطقه7),19
کرمانشاه،کرمانشاه،رشیدی,19
آذربایجان شرقی،تبریز،مرزداران,19
خوزستان،اهواز،کمپلو جنوبی,19
خوزستان،اهواز،شلنگ آباد(کوی علوی),19
تهران،تهران،مجیدیه جنوبی,18
خراسان رضوی،مشهد،اندیشه,18
تهران،تهران،بزرگراه ارتش,18
فارس،شیراز،امیرکبیر,18
آذربایجان شرقی،تبریز،هتل مرمر,18
کرمان،کرمان،جاده تهران ( شهید آیت اله صدوقی),18
لرستان،خرم آباد،میدان تیر (منطقه10),18
فارس،شیراز،تحویلی,18
فارس،شیراز،ولیعصر,18
خوزستان،اهواز،ملاشیه,18
مرکزی،اراک،کرهرود,18
آذربایجان شرقی،تبریز،شمس تبریزی,17
تهران،تهران،دردشت,17
اصفهان،اصفهان،لنبان,17
تهران،تهران،پیامبر مرکزی,17
تهران،تهران،زینبیه,17
گیلان،رشت،قلی پور,17
کرمان،کرمان،خورشید,17
کرمانشاه،کرمانشاه،سرچشمه,17
تهران،تهران،فردوسی,17
قم،قم،حرم,17
البرز،کرج،میدان اقبال,17
تهران،تهران،عباس آباد,17
یزد،یزد،بهاران,16
لرستان،خرم آباد،شهرک قدس,16
اصفهان،اصفهان،سه‌راه سیمین,16
آذربایجان شرقی،تبریز،بارنج,16
آذربایجان شرقی،تبریز،گلکار,16
اصفهان،اصفهان،بزرگراه نواب صفوی,16
کردستان،سنندج،اکباتان,16
لرستان،خرم آباد،مطهری (منطقه1),15
همدان،همدان،میدان رسالت,15
فارس،شیراز،بلوار تخت جمشید,15
لرستان،خرم آباد،تلوری,15
تهران،تهران،هفت چنار,15
لرستان،خرم آباد،کوی فلسطین (منطقه7),15
خوزستان،اهواز،کیانشهر,15
اصفهان،اصفهان،لاله,14
تهران،تهران،شهرزیبا,14
تهران،تهران،تهران ویلا,14
البرز،کرج،فرگاز(کرج),14
فارس،شیراز،گلدشت معالی آباد,14
مازندران،آمل،شیخ فضل الله نوری,13
تهران،تهران،کلاک(کرج),13
فارس،شیراز،کلبه,13
آذربایجان شرقی،تبریز،استادان,13
تهران،تهران،پل چوبی,13
فارس،شیراز،تلخ داش,13
تهران،تهران،اتوبان صدر,13
مرکزی،اراک،خانه سازی,12
خوزستان،اهواز،عامری,12
خوزستان،اهواز،خروسیه,12
فارس،شیراز،استقلال,12
اصفهان،اصفهان،درچه,12
خراسان رضوی،مشهد،جانباز,12
کردستان،سنندج،شهرک پردیس,12
سیستان و بلوچستان،زاهدان،بلوار دانشجو,12
سیستان و بلوچستان،زاهدان،مصطفی خمینی شرقی,11
تهران،تهران،خیابان مرتضوی,11
ایلام،ایلام،بانبرز,11
تهران،تهران،خیابان امام خمینی,11
آذربایجان شرقی،تبریز،بیلانکوه,11
البرز،کرج،سرحد آباد(کرج),11
تهران،تهران،ابوذر (منطقه 14),11
مرکزی،اراک،شهرک نبئی,11
تهران،تهران،گلشهر(کرج),11
اصفهان،اصفهان،دروازه تهران,11
اصفهان،اصفهان،تخت فولاد,11
اصفهان،اصفهان،خیابان معراج,11
تهران،تهران،مشکین دشت(کرج),11
البرز،کرج،جهان نما(کرج),11
کرمان،کرمان،شیخ احمد کافی,11
اصفهان،اصفهان،جابرانصاری,10
خراسان رضوی،سبزوار،سربداران,10
تهران،تهران،گوهردشت(کرج),10
قم،قم،انسجام,10
گیلان،رشت،حمیدیان,10
اصفهان،اصفهان،باغ دریاچه,10
تهران،تهران،مسکن مهر(دره گرم),10
البرز،کرج،عظیمیه(کرج),10
اصفهان،اصفهان،احمدآباد,10
مازندران،آمل،امام خمینی,10
کرمان،کرمان،خیابان ابوذر,10
تهران،تهران،شهرک صنعتی شماره 2 (ایبک آباد),10
قزوین،قزوین،سبزه میدان,10
کردستان،سنندج،کمربندی,9
سمنان،سمنان،کارگر,9
البرز،کرج،حسین آباد(کرج),9
فارس،شیراز،ملاصدرا,9
اصفهان،اصفهان،ابن سینا,9
تهران،تهران،شهرک الهیه غرب,9
خوزستان،اهواز،سی متری,9
کردستان،سنندج،شهرک سعدی ضلع غربی,9
سیستان و بلوچستان،زاهدان،فرهاد,9
فارس،شیراز،شهرک رکن آباد,9
کرمانشاه،کرمانشاه،باغ ابریشم,8
همدان،همدان،30 متری الغدیر,8
بوشهر،بوشهر،بهمنی,8
البرز،کرج،ونک,8
سمنان،سمنان،شورا,8
مازندران،ساری،بلوار امام رضا,8
تهران،تهران،بزرگراه جلال آل احمد,8
خوزستان،اهواز،سیاحی,8
یزد،یزد،امام شهر -  ولی عصر,8
لرستان،خرم آباد،شمشیرآباد (منطقه7),7
کرمان،کرمان،پارک مطهری,7
